GoalType,Cap
GoalValue,15
MoveLimit,23
TimeLimit,0
ColorCount,4
StarPoint,30
RandomSeed,1984634514
Rows,o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0
Rows,o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0
Rows,o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0 o/1/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
