GoalType,Cover
GoalValue,20
MoveLimit,25
TimeLimit,0
ColorCount,5
StarPoint,30
RandomSeed,1984634520
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0
Rows,o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0
Rows,o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0
Rows,o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0
Rows,o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0 o/4/0/0/0
