# 0/0/0/0 => cap(b)/ice(b)/bush(f)/rope(f)
# GoalType : Score,ComboN, ItemOneMore, ItemKeepCombo, ItemSameColor, Cap, Ice, Bush, Rope
# Reward,gold/100
# Reward,dia/5
# Reward,life/1
# Reward,1/1 2/1 3/1
# Reward,PurchaseItemType/Count
# PurchaseItemType : None, ExtendLimit, RemoveIce, MakeSkill1, KeepCombo, MakeSkill2, Meteor
GoalType,Score
GoalValue,340
MoveLimit,22
TimeLimit,0
ColorCount,5
StarPoint,30
RandomSeed,0
Rows,o/3/0/0/0 o/3/0/0/0 o/3/0/0/0 o/3/0/0/0 o/3/0/0/0 o/3/0/0/0 
Rows,o/2/0/0/0 o/2/0/0/0 o/2/0/0/0 o/2/0/0/0 o/2/0/0/0 o/2/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
