# 0/0/0/0/0 => productType/cap(b)/ice(b)/bush(f)/rope(f)
# GoalType : Score,ComboN, ItemOneMore, ItemKeepCombo, ItemSameColor, Cap, Ice, Bush, Rope
# Reward,gold/100
# Reward,dia/5
# Reward,life/1
# Reward,1/1 2/1 3/1
# Reward,PurchaseItemType/Count
# PurchaseItemType : None, ExtendLimit, RemoveIce, MakeSkill1, KeepCombo, MakeSkill2, Meteor
GoalType,Cap
GoalValue,18
MoveLimit,28
TimeLimit,0
ColorCount,5
MatchingChance,0
StarPoint,0
RandomSeed,0
Rows,0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/3/0/0/0 0/3/0/0/0 0/0/0/0/0 0/0/0/0/0 0/3/0/0/0 0/3/0/0/0 
