# 0/0/0/0 => cap(b)/ice(b)/bush(f)/rope(f)
# GoalType : Score,ComboN, ItemOneMore, ItemKeepCombo, ItemSameColor, Cap, Ice, Bush, Rope
# Reward,gold/100
# Reward,dia/5
# Reward,life/1
# Reward,1/1 2/1 3/1
# Reward,PurchaseItemType/Count
# PurchaseItemType : None, ExtendLimit, RemoveIce, MakeSkill1, KeepCombo, MakeSkill2, Meteor
GoalType,Cap
GoalValue,4
MoveLimit,24
TimeLimit,0
ColorCount,4
StarPoint,30
RandomSeed,0
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 x/0/0/0/0 x/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 x/0/0/0/0 o/5/0/0/0 o/5/0/0/0 x/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 x/0/0/0/0 o/5/0/0/0 o/5/0/0/0 x/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 x/0/0/0/0 x/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
Rows,o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 o/0/0/0/0 
